Date,MSFT,AAPL,NFLX,WFC,ABT,GOOG,AMZN,JNJ,GS
2013-05-24,29.2798996,14.03332138,32.6771431,31.95258331,32.51819229,435.0293884,261.7399902,71.15338135,141.299118
2013-05-28,29.92069435,13.91636372,30.59857178,32.1749115,33.20714188,438.989563,267.2900085,71.80081177,143.5139008
2013-05-29,29.80107307,14.02701473,30.76285744,32.35754395,32.4837532,432.5337524,265.5299988,70.19451904,145.4518433
2013-05-30,29.92923355,14.23602867,31.80857086,32.75457001,32.44929886,433.7541809,266.8299866,70.4731369,146.7735596
2013-05-31,29.81816673,14.17770386,32.32143021,32.19873047,31.57950783,433.9833374,269.2000122,68.98976135,144.7463379
2013-06-03,30.40769577,14.20891571,31.70999908,32.34165573,32.0014801,432.1950378,266.8800049,69.42411804,146.0680237
2013-06-04,29.89506149,14.16446304,32.18714142,32.11138535,31.69145584,427.9459534,265.7000122,68.92420197,144.3890839
2013-06-05,29.71563911,14.03206158,31.92285728,31.61907387,31.26086235,428.2448425,267.1700134,68.5799942,141.3706055
2013-06-06,29.86943436,13.82241726,31.1057148,32.33372498,31.5536747,430.7055969,267.8299866,69.21924591,142.6029968
2013-06-07,30.47603607,13.92802715,31.45999908,32.75457001,32.30289459,438.2224426,276.8699951,69.58802032,148.2560272
2013-06-10,30.30516434,13.8359766,31.56142807,32.77045059,32.28567123,443.4478455,281.0700073,69.7765274,149.577774
2013-06-11,29.76690865,13.79530811,30.63714218,32.28607178,31.71729851,438.2622986,274.7799988,69.40776825,145.8447723
2013-06-12,29.90359879,13.62476063,29.66285706,31.97640419,31.38143349,434.361908,271.6700134,68.62915802,144.5498657
2013-06-13,29.6643734,13.74360847,30.77000046,32.50840378,31.60534477,436.8625183,275.7900085,69.58802032,148.08638
2013-06-14,29.39097214,13.55729771,30.56999969,31.88906097,31.70008469,435.8862,273.9899902,69.58802032,145.4965057
2013-06-17,29.90359879,13.6187706,32.74714279,32.24635696,31.76897049,441.4702759,278.0599976,70.17810822,146.5592194
2013-06-18,29.88651466,13.61151695,32.68999863,32.42901611,32.30289459,448.628418,281.7600098,70.77638245,146.5949554
2013-06-19,29.55330849,13.33504677,33.18714142,32.28607178,31.18336296,448.6583252,278.1600037,69.54706573,144.2819672
2013-06-20,28.61348152,13.14085197,31.93142891,31.8334713,30.28774834,440.7180786,273.4400024,67.71128082,138.7896729
2013-06-21,28.42550468,13.0355587,30.98571396,32.52428818,30.64083099,438.8201904,273.3599854,68.1865921,137.7537231
2013-06-24,28.80998611,12.69004631,30.79999924,31.60319519,30.1154995,433.2709961,270.6099854,69.34218597,134.6548309
2013-06-25,28.76726913,12.69287872,30.41428566,32.00021362,30.23606873,431.4826965,272.0899963,69.94863129,136.6909943
2013-06-26,29.34824944,12.54913139,30.29999924,32.57192993,30.65804482,435.1937866,277.5700073,71.29270172,135.4407043
2013-06-27,29.57893753,12.41388607,30.70999908,33.00072861,30.4513588,436.8973999,277.5499878,71.06322479,137.0928497
2013-06-28,29.51058769,12.50058174,30.15571404,32.77045059,30.03799438,438.5412292,277.6900024,70.36660004,135.0745544
2013-07-01,29.35679436,12.90063,32.04000092,32.84191132,30.16716003,442.2822266,282.1000061,70.99765778,135.5210724
2013-07-02,28.99795151,13.19286728,31.63714218,32.73074722,30.02076912,439.5076294,283.730011,70.9484787,134.7798157
2013-07-03,29.05775833,13.2656908,31.55857086,32.73074722,29.49545479,441.5599365,284.0299988,71.12062073,134.3422089
2013-07-05,29.2286377,13.15913486,32.15714264,33.40569305,30.0724411,445.0767517,285.8800049,72.01389313,136.8516998
2013-07-08,29.33116531,13.08442116,33.29999924,34.00916672,30.49442863,450.855072,290.5899963,72.60397339,137.3607941
2013-07-09,29.34824944,13.31455517,35.34000015,33.90594101,29.91743279,450.9298096,291.5299988,72.84163666,140.1560211
2013-07-10,29.64728355,13.263484,34.83142853,33.40569305,29.91743279,451.3034058,292.3299866,73.13669586,139.1647797
2013-07-11,30.49312592,13.47028446,34.88142776,33.26275253,30.58321571,458.4017944,299.6600037,73.4890976,140.843689
